,Title,Year,Score,Rank,Category
0,Running Scared (1986)  61%,1986,61,140,Fresh
1,Equilibrium (2002)  40%,2002,40,139,Rotten
2,Hero (2002)  94%,2002,94,138,Certified Fresh
3,Road House (1989)  41%,1989,41,137,Rotten
4,Unstoppable (2010)  87%,2010,87,136,Certified Fresh
5,Shaft (1971)  88%,1971,88,135,Certified Fresh
6,The Villainess (2017)  85%,2017,85,134,Certified Fresh
7,Highlander (1986)  71%,1986,71,133,Fresh
8,Die Hard 2 (1990)  70%,1990,70,132,Fresh
9,National Treasure (2004)  46%,2004,46,131,Rotten
10,The Protector (2005)  53%,2005,53,130,Rotten
11,Revenge (2017)  93%,2017,93,129,Certified Fresh
12,El Mariachi (1992)  91%,1992,91,128,Certified Fresh
13,A Touch of Zen (1971)  97%,1971,97,127,Fresh
14,Top Gun (1986)  57%,1986,57,126,Rotten
15,Con Air (1997)  58%,1997,58,125,Rotten
16,The Expendables 2 (2012)  67%,2012,67,124,Fresh
17,The Mummy (1999)  60%,1999,60,123,Fresh
18,Mr. & Mrs. Smith (2005)  60%,2005,60,122,Fresh
19,Rush Hour (1998)  62%,1998,62,121,Fresh
20,The Equalizer (2014)  61%,2014,61,120,Fresh
21,Captain America: Civil War (2016)  91%,2016,91,119,Certified Fresh
22,Air Force One (1997)  78%,1997,78,118,Certified Fresh
23,Bloodsport (1988)  46%,1988,46,117,Rotten
24,Blade (1998)  58%,1998,58,116,Rotten
25,Bad Boys (1995)  43%,1995,43,115,Rotten
26,Die Hard With a Vengeance (1995)  58%,1995,58,114,Rotten
27,The Running Man (1987)  66%,1987,66,113,Fresh
28,Code of Silence (1985)  68%,1985,68,112,Fresh
29,Shoot 'Em Up (2007)  67%,2007,67,111,Fresh
30,Crank (2006)  62%,2006,62,110,Fresh
31,Machete (2010)  70%,2010,70,109,Certified Fresh
32,Drive (2011)  93%,2011,93,108,Certified Fresh
33,Batman (1989)  76%,1989,76,107,Certified Fresh
34,Under Siege (1992)  79%,1992,79,106,Fresh
35,Independence Day (1996)  68%,1996,68,105,Fresh
