book_id,title,author,genre,pages,published_year
0,The Hunger Games,Suzanne Collins,Young Adult,374,2008
1,Harry Potter and the Order of the Phoenix,J.K. Rowling,Fantasy,870,2003
2,Twilight,Stephenie Meyer,Young Adult,501,2005
3,Animal Farm,George Orwell,Classics,141,1945
4,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,Fantasy,1728,1955
5,The Giving Tree,Shel Silverstein,Childrens,64,1964
6,The Help,Kathryn Stockett ,Fiction,451,2009
7,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,309,1997
8,One Hundred Years of Solitude,Gabriel García Márquez,Fiction,417,1967
9,Harry Potter and the Deathly Hallows,J.K. Rowling,Fantasy,759,2007
10,The Fellowship of the Ring,J.R.R. Tolkien,Classics,527,1954
11,1984,George Orwell,Classics,237,1949
12,The Road,Cormac McCarthy,Fiction,241,2006
13,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Fantasy,435,1999
14,Harry Potter and the Goblet of Fire,J.K. Rowling,Fantasy,734,2000
15,Harry Potter and the Half-Blood Prince,J.K. Rowling,Fantasy,652,2005
16,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy,341,1998
17,American Gods,Neil Gaiman ,Fantasy,635,2001
18,Perfume: The Story of a Murderer,Patrick Süskind,Fiction,263,1985
19,Holes,Louis Sachar ,Young Adult,233,1998
20,"The Hobbit, or There and Back Again",J.R.R. Tolkien,Fantasy,366,1937
21,Love in the Time of Cholera,Gabriel García Márquez,Fiction,348,1985
22,Atonement,Ian McEwan,Fiction,351,2001
23,The Hunger Games Trilogy Boxset,Suzanne Collins,Young Adult,1155,2008
24,The Silmarillion,J.R.R. Tolkien,Fantasy,386,1977
25,Catching Fire,Suzanne Collins,Young Adult,391,2009
26,A Light in the Attic,Shel Silverstein,Poetry,176,1981
27,The Sound and the Fury,William Faulkner,Classics,366,1929
28,Island of the Blue Dolphins,Scott O'Dell,Young Adult,194,1960
29,Midnight Sun [2008 Draft],Stephenie Meyer,Young Adult,264,2008
30,Neverwhere,Neil Gaiman ,Fantasy,370,1996
31,The Awakening,Kate Chopin,Classics,195,1999
32,Things Fall Apart,Chinua Achebe,Fiction,209,1958
33,Mockingjay,Suzanne Collins,Young Adult,390,2010
34,Stardust,Neil Gaiman ,Fantasy,248,1997
35,The Lord of the Rings,J.R.R. Tolkien,Fantasy,1216,1955
36,The Graveyard Book,Neil Gaiman ,Fantasy,307,2008
37,Beowulf,Unknown,Classics,245,2000
38,As I Lay Dying,William Faulkner,Classics,288,1930
39,A Separate Peace,John Knowles,Classics,208,1959
40,Midnight's Children,Salman Rushdie,Fiction,647,1981
